accountsapid,Single_Order,2019,2020,2021,Churn_Rule_year_wise,Churn_Rule_avg_cycle,Median_Days,3_years_cycle,Final_Churn,TotalOrderNumber,NumQtrsPerOrder,OrderChannel_NonDigital,OrderChannel_EProcurement,OrderChannel_ECommerce,Recency,Frequency,Monetary,RFM_Score,CountryCode,Average_years_taken_per order,Orders year wise,FirstOrderedDate_Year,FirstOrderedDate_Month,FirstOrderedDate_Week,FirstOrderedDate_Day,FirstOrderedDate_Dayofweek,LastOrderedDate_Year,LastOrderedDate_Month,LastOrderedDate_Week,LastOrderedDate_Day,LastOrderedDate_Dayofweek
144091.0,1,0,1,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,207.0,2.0,1727.1,8,2,3.0,5,2020,12,49,3,3,2020,12,49,3,3
144331.0,0,1,1,1,0,1,35.0,105.0,0,21.0,1.0,1,0,0,816.0,690.0,93723.41,5,2,1.0,3,2019,4,14,4,3,2021,4,17,30,4
144612.0,0,1,1,1,0,2,1.0,3.0,1,707.0,1.0,1,1,0,901.0,2602.0,1829364.14,6,2,1.0,3,2019,1,2,9,2,2021,6,25,21,0
144043.0,0,0,1,1,0,1,182.0,546.0,0,2.0,2.0,0,1,0,196.0,5.0,2928.49,6,2,2.0,2,2020,12,51,14,0,2021,6,24,14,0
144134.0,0,1,1,1,0,1,46.0,138.0,0,15.0,1.0,1,1,0,882.0,104.0,31201.09,6,2,1.0,3,2019,1,5,28,0,2021,3,11,17,2
144334.0,0,1,1,1,0,1,7.0,21.0,0,113.0,1.0,1,1,1,896.0,921.0,142002.36999999997,6,2,1.0,3,2019,1,3,14,0,2021,6,24,17,3
144070.0,0,1,1,1,0,1,60.0,180.0,0,16.0,1.0,1,0,1,889.0,155.0,32062.0,6,2,1.0,3,2019,1,4,21,0,2021,5,18,7,4
144154.0,1,1,0,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,759.0,3.0,1161.0,9,2,3.0,4,2019,5,22,31,4,2019,5,22,31,4
144000.0,0,1,1,0,1,2,45.0,135.0,1,5.0,2.0,1,0,0,775.0,10.0,7885.0,7,2,2.0,0,2019,5,20,15,2,2020,9,38,17,3
144099.0,0,1,1,0,1,2,29.0,87.0,1,11.0,1.0,1,0,1,755.0,48.0,14308.5,5,2,2.0,0,2019,6,23,4,1,2020,12,51,18,4
144439.0,0,1,1,1,0,1,27.0,81.0,0,19.0,1.0,1,0,1,899.0,204.0,35807.0,6,2,1.0,3,2019,1,2,11,4,2021,4,15,12,0
144460.0,0,1,1,0,1,2,36.0,108.0,1,13.0,1.0,1,1,0,882.0,32.0,17329.18,6,2,2.0,0,2019,1,5,28,0,2020,12,52,23,2
143978.0,1,0,1,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,279.0,1.0,793.52,9,2,3.0,5,2020,9,39,22,1,2020,9,39,22,1
144197.0,0,1,1,0,1,1,300.0,900.0,0,3.0,6.0,1,0,0,873.0,16.0,5791.0,8,2,2.0,0,2019,2,6,6,2,2020,9,40,29,1
144279.0,0,1,1,0,1,1,132.0,396.0,0,5.0,2.0,1,0,1,825.0,12.0,4870.0,7,2,2.0,0,2019,3,13,26,1,2020,8,32,6,3
144273.0,1,0,0,1,0,0,0.0,0.0,0,1.0,-1.0,1,0,0,95.0,3.0,442.53,8,2,3.0,6,2021,3,12,25,3,2021,3,12,25,3
144704.0,0,1,1,1,0,1,60.0,180.0,0,13.0,1.0,1,0,1,901.0,38.0,13796.7,6,2,1.0,3,2019,1,2,9,2,2021,3,12,22,0
144349.0,1,0,1,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,416.0,1.0,320.0,10,2,3.0,5,2020,5,19,8,4,2020,5,19,8,4
144112.0,0,1,1,1,0,1,239.0,717.0,0,3.0,2.0,1,0,0,612.0,480.0,32102.0,4,2,1.0,3,2019,10,43,25,4,2021,2,7,15,0
144775.0,0,1,1,1,0,1,4.0,12.0,0,294.0,1.0,1,0,0,906.0,998.0,423890.0799999997,6,2,1.0,3,2019,1,1,4,4,2021,6,24,18,4
144114.0,0,1,0,0,1,2,108.0,324.0,1,4.0,2.0,1,0,0,769.0,4.0,2985.0,8,2,3.0,4,2019,5,21,21,1,2019,12,52,24,1
144081.0,0,0,1,1,0,1,81.0,243.0,0,2.0,1.0,1,0,1,182.0,2.0,1507.0,8,2,2.0,2,2020,12,53,28,0,2021,3,11,19,4
144395.0,0,0,1,1,0,1,65.0,195.0,0,4.0,2.0,1,0,1,525.0,8.0,2605.7,6,2,2.0,2,2020,1,4,20,0,2021,2,8,23,1
144923.0,0,1,1,1,0,1,4.0,12.0,0,176.0,1.0,1,0,1,903.0,821.0,285833.46000000014,6,2,1.0,3,2019,1,2,7,0,2021,6,24,18,4
144113.0,0,1,1,0,1,2,29.0,87.0,1,3.0,1.0,1,0,1,556.0,19.0,6005.95,6,2,2.0,0,2019,12,51,20,4,2020,2,8,17,0
144497.0,1,1,0,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,721.0,2.0,575.64,11,2,3.0,4,2019,7,28,8,0,2019,7,28,8,0
144933.0,0,1,1,1,0,1,9.0,27.0,0,76.0,1.0,1,1,1,908.0,176.0,143356.27,6,2,1.0,3,2019,1,1,2,2,2021,6,22,4,4
144769.0,0,1,1,1,0,1,22.0,66.0,0,21.0,1.0,1,0,1,858.0,68.0,18972.4,6,2,1.0,3,2019,2,8,21,3,2021,5,18,4,1
145051.0,0,1,1,1,0,1,6.0,18.0,0,139.0,1.0,1,1,1,889.0,3425.0,196133.25000000003,6,2,1.0,3,2019,1,4,21,0,2021,6,24,18,4
145037.0,0,1,1,1,0,1,88.0,264.0,0,6.0,2.0,1,0,0,745.0,15.0,27086.0,6,2,1.0,3,2019,6,24,14,4,2021,2,5,5,4
144824.0,0,1,1,1,0,1,57.0,171.0,0,8.0,2.0,1,0,0,754.0,29.0,10979.02,5,2,1.0,3,2019,6,23,5,2,2021,6,23,9,2
144372.0,0,1,0,0,1,2,130.0,390.0,1,2.0,2.0,1,0,0,738.0,8.0,6955.77,7,2,3.0,4,2019,6,25,21,4,2019,10,44,29,1
144654.0,0,1,1,0,1,2,43.0,129.0,1,4.0,2.0,1,0,0,579.0,15.0,2348.25,7,2,2.0,0,2019,11,48,27,2,2020,12,51,18,4
144336.0,0,1,0,0,1,2,106.0,318.0,1,2.0,1.0,1,0,1,777.0,2.0,1514.7,10,2,3.0,4,2019,5,20,13,0,2019,8,35,27,1
144404.0,1,1,0,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,592.0,2.0,620.0,10,2,3.0,4,2019,11,46,14,3,2019,11,46,14,3
144893.0,0,1,1,0,1,2,44.0,132.0,1,3.0,1.0,1,0,0,557.0,18.0,3612.55,6,2,2.0,0,2019,12,51,19,3,2020,3,12,16,0
144263.0,1,0,0,1,0,0,0.0,0.0,0,1.0,-1.0,1,0,0,19.0,3.0,651.1,8,2,3.0,6,2021,6,23,9,2,2021,6,23,9,2
144383.0,0,1,0,0,1,2,28.0,84.0,1,2.0,-1.0,0,1,0,887.0,8.0,5804.75,8,2,3.0,4,2019,1,4,23,2,2019,2,8,20,2
144727.0,1,0,1,0,1,0,0.0,0.0,1,3.0,-1.0,0,1,0,430.0,11.0,7881.019999999999,6,2,3.0,5,2020,4,17,24,4,2020,4,17,24,4
145177.0,0,1,1,1,0,1,69.0,207.0,0,13.0,1.0,1,0,1,902.0,76.0,11059.15,6,2,1.0,3,2019,1,2,8,1,2021,3,9,2,1
144540.0,1,1,0,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,570.0,10.0,2441.0,7,2,3.0,4,2019,12,49,6,4,2019,12,49,6,4
144857.0,0,1,1,1,0,1,98.0,294.0,0,11.0,1.0,1,0,0,888.0,79.0,29395.0,6,2,1.0,3,2019,1,4,22,1,2021,5,19,12,2
145122.0,0,1,1,0,1,2,14.0,42.0,1,25.0,1.0,0,1,0,873.0,192.0,32078.68,6,2,2.0,0,2019,2,6,6,2,2020,1,3,13,0
144701.0,0,1,1,0,1,1,257.0,771.0,0,3.0,5.0,1,0,0,896.0,4.0,2532.0,10,2,2.0,0,2019,1,3,14,0,2020,6,24,12,4
145187.0,0,1,1,1,0,1,13.0,39.0,0,56.0,1.0,1,0,1,889.0,194.0,100093.08,6,2,1.0,3,2019,1,4,21,0,2021,5,21,26,2
144584.0,1,1,0,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,830.0,4.0,877.5,9,2,3.0,4,2019,3,12,21,3,2019,3,12,21,3
145137.0,0,1,1,1,0,2,5.0,15.0,1,153.0,1.0,1,1,1,903.0,610.0,808790.55,6,2,1.0,3,2019,1,2,7,0,2021,6,23,11,4
145135.0,0,1,1,1,0,1,45.0,135.0,0,8.0,3.0,1,1,0,886.0,12.0,7677.809999999999,8,2,1.0,3,2019,1,4,24,3,2021,3,13,30,1
144552.0,1,0,1,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,525.0,1.0,3444.0,8,2,3.0,5,2020,1,4,20,0,2020,1,4,20,0
145200.0,0,1,1,0,1,2,19.0,57.0,1,21.0,1.0,1,0,1,900.0,179.0,31261.279999999995,6,2,2.0,0,2019,1,2,10,3,2020,7,31,27,0
145225.0,0,1,1,1,0,2,3.0,9.0,1,251.0,1.0,1,1,0,899.0,897.0,441270.2999999996,6,2,1.0,3,2019,1,2,11,4,2021,4,15,14,2
144985.0,0,1,0,1,1,1,778.0,2334.0,0,2.0,9.0,1,0,0,847.0,2.0,1959.0,11,2,2.0,1,2019,3,10,4,0,2021,4,16,20,1
144745.0,1,1,0,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,706.0,1.0,930.0,10,2,3.0,4,2019,7,30,23,1,2019,7,30,23,1
145171.0,0,1,1,0,1,1,132.0,396.0,0,4.0,2.0,1,0,1,808.0,22.0,8883.7,7,2,2.0,0,2019,4,15,12,4,2020,10,41,6,1
145399.0,0,1,1,1,0,2,7.0,21.0,1,85.0,1.0,1,1,0,900.0,1318.0,258884.64,6,2,1.0,3,2019,1,2,10,3,2021,2,6,12,4
144979.0,0,1,1,1,0,1,37.0,111.0,0,20.0,1.0,1,0,0,867.0,70.0,19235.38,6,2,1.0,3,2019,2,7,12,1,2021,6,23,10,3
145282.0,0,1,1,0,1,1,160.0,480.0,0,6.0,2.0,1,0,0,824.0,7.0,1626.8,9,2,2.0,0,2019,3,13,27,2,2020,12,51,16,2
145678.0,0,1,1,1,0,2,17.0,51.0,1,14.0,2.0,1,1,0,824.0,202.0,23056.03,5,2,1.0,3,2019,3,13,27,2,2021,2,6,9,1
145312.0,0,1,1,1,0,1,11.0,33.0,0,72.0,1.0,1,0,0,906.0,398.0,95760.39000000004,6,2,1.0,3,2019,1,1,4,4,2021,6,23,10,3
144561.0,1,1,0,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,805.0,6.0,6024.0,8,2,3.0,4,2019,4,16,15,0,2019,4,16,15,0
145743.0,0,1,1,1,0,1,92.0,276.0,0,8.0,1.0,1,0,1,733.0,12.0,3827.5,7,2,1.0,3,2019,6,26,26,2,2021,3,11,15,0
144455.0,1,1,0,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,693.0,1.0,665.0,11,2,3.0,4,2019,8,32,5,0,2019,8,32,5,0
144856.0,0,1,1,0,1,1,98.0,294.0,0,4.0,3.0,1,0,0,795.0,15.0,11093.48,6,2,2.0,0,2019,4,17,25,3,2020,12,53,28,0
145908.0,0,1,1,1,0,2,1.0,3.0,1,771.0,1.0,1,1,1,908.0,3432.0,1403636.909999996,6,2,1.0,3,2019,1,1,2,2,2021,6,24,17,3
144865.0,0,1,1,1,0,1,136.0,408.0,0,4.0,4.0,1,0,1,804.0,14.0,10688.0,6,2,1.0,3,2019,4,16,16,1,2021,1,4,26,1
144639.0,1,0,0,1,0,0,0.0,0.0,0,1.0,-1.0,1,0,0,13.0,1.0,72.0,9,2,3.0,6,2021,6,24,15,1,2021,6,24,15,1
144867.0,0,1,1,1,0,1,184.0,552.0,0,4.0,2.0,1,0,0,749.0,4.0,1270.0,9,2,1.0,3,2019,6,24,10,0,2021,3,10,8,0
145361.0,0,1,1,0,1,2,10.0,30.0,1,41.0,1.0,1,0,1,824.0,86.0,66639.4,5,2,2.0,0,2019,3,13,27,2,2020,12,52,23,2
144785.0,1,1,0,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,775.0,2.0,1377.0,10,2,3.0,4,2019,5,20,15,2,2019,5,20,15,2
145151.0,0,1,1,1,0,1,173.0,519.0,0,5.0,2.0,1,0,1,859.0,6.0,3112.4,9,2,1.0,3,2019,2,8,20,2,2021,6,23,9,2
145197.0,0,1,1,1,0,1,120.0,360.0,0,8.0,2.0,1,0,1,867.0,52.0,12266.21,6,2,1.0,3,2019,2,7,12,1,2021,6,24,18,4
144913.0,1,1,0,0,1,0,0.0,0.0,1,1.0,-1.0,0,0,1,700.0,4.0,4437.0,8,2,3.0,4,2019,7,31,29,0,2019,7,31,29,0
145418.0,0,1,1,1,0,1,33.0,99.0,0,13.0,2.0,1,0,0,881.0,52.0,13059.9,6,2,1.0,3,2019,1,5,29,1,2021,5,20,18,1
