accountsapid,Single_Order,2019,2020,2021,Churn_Rule_year_wise,Churn_Rule_avg_cycle,Median_Days,3_years_cycle,Final_Churn,TotalOrderNumber,FirstOrderedDate,LastOrderedDate,NumQtrsPerOrder,OrderChannel_NonDigital,OrderChannel_EProcurement,OrderChannel_ECommerce,Recency,Frequency,Monetary,RFM_Score,CountryCode,Average_years_taken_per order,Orders year wise
18851.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,117.0,351.0,WillNot_Churn,8.0,2019-01-31,2021-06-08,2.0,Yes,No,No,879.0,15.0,8986.0,8,US,1.0,Orders in all years
22010.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,48.0,144.0,WillNot_Churn,16.0,2019-01-25,2021-06-01,1.0,Yes,Yes,No,885.0,81.0,15514.26,6,CA,1.0,Orders in all years
21034.0,Yes,No,No,Yes,WillNot_Churn,Single order throughout,0.0,0.0,WillNot_Churn,1.0,2021-05-18,2021-05-18,-1.0,Yes,No,No,41.0,3.0,609.23,8,CA,3.0,Orders only in 2021
21600.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,34.0,102.0,WillNot_Churn,19.0,2019-02-04,2021-04-20,1.0,Yes,No,No,875.0,78.0,18412.37,6,CA,1.0,Orders in all years
19549.0,No,No,Yes,Yes,WillNot_Churn,Will_Churn,42.0,126.0,Will_Churn,9.0,2020-01-22,2021-02-12,1.0,Yes,Yes,No,523.0,38.0,16201.830000000002,4,US,2.0,"Orders in 2020,2021"
18345.0,Yes,Yes,No,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2019-03-29,2019-03-29,-1.0,No,No,Yes,822.0,1.0,909.0,10,US,3.0,Orders only in 2019
22629.0,No,Yes,Yes,No,Will_Churn,Will_Churn,85.0,255.0,Will_Churn,6.0,2019-01-07,2020-07-08,2.0,Yes,No,No,903.0,12.0,7453.84,8,CA,2.0,"Orders in 2019,2020"
18858.0,No,No,Yes,No,Will_Churn,Will_Churn,5.0,15.0,Will_Churn,2.0,2020-05-07,2020-05-12,-1.0,Yes,No,No,417.0,2.0,1379.4,9,US,3.0,Orders only in 2020
19383.0,Yes,Yes,No,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2019-09-12,2019-09-12,-1.0,No,No,Yes,655.0,1.0,661.5,10,US,3.0,Orders only in 2019
20195.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,30.0,90.0,WillNot_Churn,13.0,2019-03-14,2021-04-23,2.0,Yes,No,No,837.0,102.0,14823.850000000002,5,CA,1.0,Orders in all years
19077.0,Yes,Yes,No,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2019-08-27,2019-08-27,-1.0,Yes,No,No,671.0,2.0,2935.2,9,US,3.0,Orders only in 2019
141667.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,27.0,81.0,WillNot_Churn,25.0,2019-01-09,2021-04-30,1.0,Yes,No,No,901.0,267.0,38353.85,6,PR,1.0,Orders in all years
141620.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,19.0,57.0,WillNot_Churn,41.0,2019-02-19,2021-05-18,1.0,Yes,No,No,860.0,440.0,117726.05,6,PR,1.0,Orders in all years
141647.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,46.0,138.0,WillNot_Churn,17.0,2019-03-18,2021-03-15,1.0,Yes,Yes,No,833.0,108.0,53641.15,5,PR,1.0,Orders in all years
19599.0,Yes,Yes,No,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2019-05-07,2019-05-07,-1.0,No,No,Yes,783.0,1.0,247.5,11,US,3.0,Orders only in 2019
23244.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,43.0,129.0,WillNot_Churn,7.0,2019-02-21,2021-04-07,2.0,Yes,No,No,858.0,47.0,7620.57,7,US,1.0,Orders in all years
20719.0,No,Yes,No,Yes,Will_Churn,WillNot_Churn,757.0,2271.0,WillNot_Churn,2.0,2019-02-14,2021-03-12,8.0,Yes,No,Yes,865.0,2.0,54.54,12,CA,2.0,"Orders in 2019,2021"
20438.0,Yes,No,No,Yes,WillNot_Churn,Single order throughout,0.0,0.0,WillNot_Churn,1.0,2021-02-15,2021-02-15,-1.0,Yes,No,No,133.0,2.0,1790.77,8,CA,3.0,Orders only in 2021
19642.0,No,Yes,No,No,Will_Churn,Will_Churn,181.0,543.0,Will_Churn,2.0,2019-04-23,2019-10-21,2.0,Yes,No,Yes,797.0,2.0,807.5,10,US,3.0,Orders only in 2019
20231.0,Yes,No,Yes,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2020-11-19,2020-11-19,-1.0,Yes,No,No,221.0,1.0,777.38,9,CA,3.0,Orders only in 2020
21058.0,No,No,Yes,Yes,WillNot_Churn,WillNot_Churn,44.0,132.0,WillNot_Churn,7.0,2020-02-07,2021-03-23,1.0,Yes,No,No,507.0,219.0,56976.91,4,CA,2.0,"Orders in 2020,2021"
21603.0,No,No,Yes,Yes,WillNot_Churn,WillNot_Churn,166.0,498.0,WillNot_Churn,2.0,2020-09-23,2021-03-08,2.0,Yes,No,No,278.0,178.0,24101.91,3,CA,2.0,"Orders in 2020,2021"
20899.0,Yes,Yes,No,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2019-05-02,2019-05-02,-1.0,Yes,No,No,788.0,7.0,332.97,10,CA,3.0,Orders only in 2019
20933.0,No,Yes,No,No,Will_Churn,Will_Churn,37.0,111.0,Will_Churn,3.0,2019-10-03,2019-12-16,-1.0,Yes,No,No,634.0,3.0,1673.84,8,CA,3.0,Orders only in 2019
20408.0,No,No,Yes,No,Will_Churn,WillNot_Churn,72.0,216.0,WillNot_Churn,3.0,2020-07-24,2020-12-15,1.0,Yes,No,No,339.0,7.0,8904.84,6,CA,3.0,Orders only in 2020
141687.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,21.0,63.0,WillNot_Churn,24.0,2019-04-12,2021-06-10,1.0,Yes,No,No,808.0,87.0,40810.4,5,PR,1.0,Orders in all years
141665.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,8.0,24.0,WillNot_Churn,87.0,2019-01-09,2021-06-16,1.0,Yes,No,No,901.0,529.0,151109.42000000007,6,PR,1.0,Orders in all years
21594.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,83.0,249.0,WillNot_Churn,9.0,2019-01-11,2021-06-04,2.0,Yes,No,No,899.0,62.0,46970.82000000001,6,CA,1.0,Orders in all years
21701.0,No,Yes,No,No,Will_Churn,Will_Churn,6.0,18.0,Will_Churn,2.0,2019-08-14,2019-08-20,-1.0,Yes,No,No,684.0,13.0,2083.07,8,CA,3.0,Orders only in 2019
21886.0,No,Yes,Yes,No,Will_Churn,WillNot_Churn,250.0,750.0,WillNot_Churn,4.0,2019-03-20,2020-11-16,4.0,Yes,No,No,831.0,8.0,3578.46,7,CA,2.0,"Orders in 2019,2020"
141720.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,16.0,48.0,WillNot_Churn,45.0,2019-01-10,2021-06-14,1.0,Yes,No,No,900.0,456.0,150265.25999999998,6,PR,1.0,Orders in all years
20149.0,No,Yes,Yes,No,Will_Churn,Will_Churn,71.0,213.0,Will_Churn,6.0,2019-01-09,2020-09-22,2.0,Yes,No,Yes,901.0,10.0,3090.76,8,CA,2.0,"Orders in 2019,2020"
141616.0,No,Yes,No,Yes,Will_Churn,WillNot_Churn,826.0,2478.0,WillNot_Churn,2.0,2019-03-18,2021-06-21,9.0,Yes,No,Yes,833.0,2.0,466.75,11,PR,2.0,"Orders in 2019,2021"
23628.0,No,Yes,No,Yes,Will_Churn,WillNot_Churn,157.0,471.0,WillNot_Churn,5.0,2019-03-21,2021-04-15,2.0,Yes,No,Yes,830.0,27.0,19463.84,6,CA,2.0,"Orders in 2019,2021"
20461.0,No,Yes,No,Yes,Will_Churn,WillNot_Churn,374.0,1122.0,WillNot_Churn,3.0,2019-04-24,2021-05-11,4.0,Yes,No,No,796.0,4.0,1849.99,9,CA,2.0,"Orders in 2019,2021"
21570.0,Yes,Yes,No,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,2.0,2019-05-08,2019-05-08,-1.0,No,No,Yes,782.0,6.0,953.24,9,CA,3.0,Orders only in 2019
20355.0,No,Yes,No,No,Will_Churn,Will_Churn,34.0,102.0,Will_Churn,2.0,2019-10-17,2019-11-20,-1.0,Yes,No,No,620.0,5.0,996.16,8,CA,3.0,Orders only in 2019
141737.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,9.0,27.0,WillNot_Churn,112.0,2019-01-29,2021-06-21,1.0,Yes,Yes,No,881.0,3029.0,382603.5000000001,6,PR,1.0,Orders in all years
22289.0,Yes,No,Yes,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2020-08-26,2020-08-26,-1.0,Yes,No,No,306.0,3.0,669.23,8,CA,3.0,Orders only in 2020
22688.0,Yes,No,Yes,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2020-06-08,2020-06-08,-1.0,Yes,No,No,385.0,2.0,1524.0,9,CA,3.0,Orders only in 2020
141625.0,No,Yes,No,No,Will_Churn,Will_Churn,44.0,132.0,Will_Churn,5.0,2019-04-09,2019-09-18,1.0,Yes,No,No,811.0,130.0,13477.0,5,PR,3.0,Orders only in 2019
141639.0,Yes,Yes,No,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2019-01-28,2019-01-28,-1.0,Yes,No,No,882.0,2.0,1680.0,11,PR,3.0,Orders only in 2019
141705.0,Yes,No,No,Yes,WillNot_Churn,Single order throughout,0.0,0.0,WillNot_Churn,1.0,2021-03-15,2021-03-15,-1.0,No,No,Yes,105.0,2.0,305.1,9,PR,3.0,Orders only in 2021
141727.0,No,Yes,Yes,Yes,WillNot_Churn,Will_Churn,18.0,54.0,Will_Churn,32.0,2019-03-13,2021-05-04,1.0,Yes,Yes,No,838.0,120.0,61419.48,5,PR,1.0,Orders in all years
141849.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,18.0,54.0,WillNot_Churn,24.0,2019-02-01,2021-05-20,1.0,Yes,Yes,No,878.0,122.0,67015.5,6,PR,1.0,Orders in all years
141618.0,No,Yes,Yes,No,Will_Churn,Will_Churn,61.0,183.0,Will_Churn,12.0,2019-02-22,2020-12-01,1.0,Yes,No,No,857.0,154.0,11331.9,6,PR,2.0,"Orders in 2019,2020"
22494.0,No,Yes,No,No,Will_Churn,Will_Churn,126.0,378.0,Will_Churn,2.0,2019-05-08,2019-09-11,1.0,Yes,No,Yes,782.0,7.0,1390.76,9,CA,3.0,Orders only in 2019
141691.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,16.0,48.0,WillNot_Churn,52.0,2019-01-29,2021-06-10,1.0,Yes,No,No,881.0,1624.0,228200.03999999995,6,PR,1.0,Orders in all years
141765.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,42.0,126.0,WillNot_Churn,24.0,2019-01-21,2021-04-30,1.0,Yes,No,No,889.0,411.0,121874.0,6,PR,1.0,Orders in all years
141747.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,12.0,36.0,WillNot_Churn,64.0,2019-01-29,2021-06-02,1.0,Yes,Yes,No,881.0,1335.0,192877.38,6,PR,1.0,Orders in all years
141649.0,No,Yes,No,No,Will_Churn,Will_Churn,184.0,552.0,Will_Churn,2.0,2019-02-05,2019-08-08,2.0,Yes,No,No,874.0,3.0,557.52,11,PR,3.0,Orders only in 2019
141775.0,No,Yes,Yes,Yes,WillNot_Churn,Will_Churn,14.0,42.0,Will_Churn,57.0,2019-01-17,2021-05-07,1.0,Yes,Yes,No,893.0,389.0,150973.00999999998,6,PR,1.0,Orders in all years
143950.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,29.0,87.0,WillNot_Churn,24.0,2019-01-22,2021-05-18,1.0,Yes,Yes,Yes,888.0,67.0,40366.36,6,US,1.0,Orders in all years
22450.0,Yes,No,Yes,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2020-08-20,2020-08-20,-1.0,Yes,No,No,312.0,1.0,223.08,9,CA,3.0,Orders only in 2020
141685.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,49.0,147.0,WillNot_Churn,9.0,2019-07-31,2021-06-04,1.0,No,Yes,No,698.0,176.0,37392.28,5,PR,1.0,Orders in all years
141683.0,No,No,Yes,Yes,WillNot_Churn,WillNot_Churn,431.0,1293.0,WillNot_Churn,2.0,2020-04-02,2021-06-07,4.0,Yes,No,Yes,452.0,3.0,2359.0,8,PR,2.0,"Orders in 2020,2021"
141827.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,7.0,21.0,WillNot_Churn,109.0,2019-01-09,2021-06-17,1.0,Yes,Yes,No,901.0,473.0,227618.92,6,PR,1.0,Orders in all years
141677.0,Yes,Yes,No,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2019-09-10,2019-09-10,-1.0,Yes,No,No,657.0,75.0,18865.9,4,PR,3.0,Orders only in 2019
143965.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,18.0,54.0,WillNot_Churn,25.0,2019-02-11,2021-05-18,1.0,No,Yes,No,868.0,239.0,25935.410000000003,6,US,1.0,Orders in all years
141745.0,Yes,No,Yes,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2020-12-29,2020-12-29,-1.0,No,Yes,No,181.0,1.0,810.57,8,PR,3.0,Orders only in 2020
141693.0,No,Yes,Yes,No,Will_Churn,WillNot_Churn,225.0,675.0,WillNot_Churn,2.0,2019-12-04,2020-07-16,3.0,Yes,No,No,572.0,2.0,1890.0,9,PR,2.0,"Orders in 2019,2020"
144046.0,No,Yes,Yes,Yes,WillNot_Churn,Will_Churn,6.0,18.0,Will_Churn,127.0,2019-01-04,2021-04-15,1.0,Yes,Yes,No,906.0,296.0,135355.19999999992,6,US,1.0,Orders in all years
144104.0,No,Yes,Yes,No,Will_Churn,Will_Churn,52.0,156.0,Will_Churn,10.0,2019-04-02,2020-08-19,1.0,Yes,No,Yes,818.0,20.0,9217.7,7,US,2.0,"Orders in 2019,2020"
141695.0,No,Yes,Yes,No,Will_Churn,Will_Churn,118.0,354.0,Will_Churn,3.0,2019-06-21,2020-02-13,3.0,Yes,No,No,738.0,10.0,4852.25,7,PR,2.0,"Orders in 2019,2020"
144062.0,No,Yes,Yes,Yes,WillNot_Churn,Will_Churn,11.0,33.0,Will_Churn,56.0,2019-01-10,2021-05-21,1.0,Yes,Yes,Yes,900.0,226.0,58717.13999999999,6,US,1.0,Orders in all years
144245.0,No,Yes,Yes,Yes,WillNot_Churn,Will_Churn,3.0,9.0,Will_Churn,261.0,2019-01-03,2021-06-11,1.0,Yes,No,No,907.0,1329.0,331334.3799999999,6,US,1.0,Orders in all years
144201.0,No,Yes,Yes,Yes,WillNot_Churn,Will_Churn,23.0,69.0,Will_Churn,14.0,2019-03-07,2021-02-23,1.0,Yes,No,No,844.0,36.0,22392.75,5,US,1.0,Orders in all years
143968.0,No,No,Yes,No,Will_Churn,Will_Churn,41.0,123.0,Will_Churn,2.0,2020-04-21,2020-06-01,-1.0,Yes,Yes,No,433.0,2.0,586.04,10,US,3.0,Orders only in 2020
144088.0,Yes,No,Yes,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2020-01-22,2020-01-22,-1.0,No,No,Yes,523.0,5.0,345.6,9,US,3.0,Orders only in 2020
144257.0,Yes,Yes,No,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2019-02-19,2019-02-19,-1.0,Yes,No,No,860.0,1.0,728.0,12,US,3.0,Orders only in 2019
143999.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,67.0,201.0,WillNot_Churn,5.0,2019-05-15,2021-01-06,2.0,Yes,No,No,775.0,9.0,9357.0,7,US,1.0,Orders in all years
144091.0,Yes,No,Yes,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2020-12-03,2020-12-03,-1.0,Yes,No,No,207.0,2.0,1727.1,8,US,3.0,Orders only in 2020
144331.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,35.0,105.0,WillNot_Churn,21.0,2019-04-04,2021-04-30,1.0,Yes,No,No,816.0,690.0,93723.41,5,US,1.0,Orders in all years
144612.0,No,Yes,Yes,Yes,WillNot_Churn,Will_Churn,1.0,3.0,Will_Churn,707.0,2019-01-09,2021-06-21,1.0,Yes,Yes,No,901.0,2602.0,1829364.14,6,US,1.0,Orders in all years
144043.0,No,No,Yes,Yes,WillNot_Churn,WillNot_Churn,182.0,546.0,WillNot_Churn,2.0,2020-12-14,2021-06-14,2.0,No,Yes,No,196.0,5.0,2928.49,6,US,2.0,"Orders in 2020,2021"
144134.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,46.0,138.0,WillNot_Churn,15.0,2019-01-28,2021-03-17,1.0,Yes,Yes,No,882.0,104.0,31201.09,6,US,1.0,Orders in all years
144334.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,7.0,21.0,WillNot_Churn,113.0,2019-01-14,2021-06-17,1.0,Yes,Yes,Yes,896.0,921.0,142002.36999999997,6,US,1.0,Orders in all years
144070.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,60.0,180.0,WillNot_Churn,16.0,2019-01-21,2021-05-07,1.0,Yes,No,Yes,889.0,155.0,32062.0,6,US,1.0,Orders in all years
144154.0,Yes,Yes,No,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2019-05-31,2019-05-31,-1.0,Yes,No,No,759.0,3.0,1161.0,9,US,3.0,Orders only in 2019
144000.0,No,Yes,Yes,No,Will_Churn,Will_Churn,45.0,135.0,Will_Churn,5.0,2019-05-15,2020-09-17,2.0,Yes,No,No,775.0,10.0,7885.0,7,US,2.0,"Orders in 2019,2020"
144099.0,No,Yes,Yes,No,Will_Churn,Will_Churn,29.0,87.0,Will_Churn,11.0,2019-06-04,2020-12-18,1.0,Yes,No,Yes,755.0,48.0,14308.5,5,US,2.0,"Orders in 2019,2020"
144439.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,27.0,81.0,WillNot_Churn,19.0,2019-01-11,2021-04-12,1.0,Yes,No,Yes,899.0,204.0,35807.0,6,US,1.0,Orders in all years
144460.0,No,Yes,Yes,No,Will_Churn,Will_Churn,36.0,108.0,Will_Churn,13.0,2019-01-28,2020-12-23,1.0,Yes,Yes,No,882.0,32.0,17329.18,6,US,2.0,"Orders in 2019,2020"
143978.0,Yes,No,Yes,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2020-09-22,2020-09-22,-1.0,Yes,No,No,279.0,1.0,793.52,9,US,3.0,Orders only in 2020
144197.0,No,Yes,Yes,No,Will_Churn,WillNot_Churn,300.0,900.0,WillNot_Churn,3.0,2019-02-06,2020-09-29,6.0,Yes,No,No,873.0,16.0,5791.0,8,US,2.0,"Orders in 2019,2020"
144279.0,No,Yes,Yes,No,Will_Churn,WillNot_Churn,132.0,396.0,WillNot_Churn,5.0,2019-03-26,2020-08-06,2.0,Yes,No,Yes,825.0,12.0,4870.0,7,US,2.0,"Orders in 2019,2020"
144273.0,Yes,No,No,Yes,WillNot_Churn,Single order throughout,0.0,0.0,WillNot_Churn,1.0,2021-03-25,2021-03-25,-1.0,Yes,No,No,95.0,3.0,442.53,8,US,3.0,Orders only in 2021
144704.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,60.0,180.0,WillNot_Churn,13.0,2019-01-09,2021-03-22,1.0,Yes,No,Yes,901.0,38.0,13796.7,6,US,1.0,Orders in all years
144349.0,Yes,No,Yes,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2020-05-08,2020-05-08,-1.0,Yes,No,No,416.0,1.0,320.0,10,US,3.0,Orders only in 2020
144112.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,239.0,717.0,WillNot_Churn,3.0,2019-10-25,2021-02-15,2.0,Yes,No,No,612.0,480.0,32102.0,4,US,1.0,Orders in all years
144775.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,4.0,12.0,WillNot_Churn,294.0,2019-01-04,2021-06-18,1.0,Yes,No,No,906.0,998.0,423890.0799999997,6,US,1.0,Orders in all years
144114.0,No,Yes,No,No,Will_Churn,Will_Churn,108.0,324.0,Will_Churn,4.0,2019-05-21,2019-12-24,2.0,Yes,No,No,769.0,4.0,2985.0,8,US,3.0,Orders only in 2019
144081.0,No,No,Yes,Yes,WillNot_Churn,WillNot_Churn,81.0,243.0,WillNot_Churn,2.0,2020-12-28,2021-03-19,1.0,Yes,No,Yes,182.0,2.0,1507.0,8,US,2.0,"Orders in 2020,2021"
144395.0,No,No,Yes,Yes,WillNot_Churn,WillNot_Churn,65.0,195.0,WillNot_Churn,4.0,2020-01-20,2021-02-23,2.0,Yes,No,Yes,525.0,8.0,2605.7,6,US,2.0,"Orders in 2020,2021"
144923.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,4.0,12.0,WillNot_Churn,176.0,2019-01-07,2021-06-18,1.0,Yes,No,Yes,903.0,821.0,285833.46000000014,6,US,1.0,Orders in all years
144113.0,No,Yes,Yes,No,Will_Churn,Will_Churn,29.0,87.0,Will_Churn,3.0,2019-12-20,2020-02-17,1.0,Yes,No,Yes,556.0,19.0,6005.95,6,US,2.0,"Orders in 2019,2020"
144497.0,Yes,Yes,No,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2019-07-08,2019-07-08,-1.0,Yes,No,No,721.0,2.0,575.64,11,US,3.0,Orders only in 2019
144933.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,9.0,27.0,WillNot_Churn,76.0,2019-01-02,2021-06-04,1.0,Yes,Yes,Yes,908.0,176.0,143356.27,6,US,1.0,Orders in all years
144769.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,22.0,66.0,WillNot_Churn,21.0,2019-02-21,2021-05-04,1.0,Yes,No,Yes,858.0,68.0,18972.4,6,US,1.0,Orders in all years
145051.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,6.0,18.0,WillNot_Churn,139.0,2019-01-21,2021-06-18,1.0,Yes,Yes,Yes,889.0,3425.0,196133.25000000003,6,US,1.0,Orders in all years
145037.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,88.0,264.0,WillNot_Churn,6.0,2019-06-14,2021-02-05,2.0,Yes,No,No,745.0,15.0,27086.0,6,US,1.0,Orders in all years
144824.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,57.0,171.0,WillNot_Churn,8.0,2019-06-05,2021-06-09,2.0,Yes,No,No,754.0,29.0,10979.02,5,US,1.0,Orders in all years
144372.0,No,Yes,No,No,Will_Churn,Will_Churn,130.0,390.0,Will_Churn,2.0,2019-06-21,2019-10-29,2.0,Yes,No,No,738.0,8.0,6955.77,7,US,3.0,Orders only in 2019
144654.0,No,Yes,Yes,No,Will_Churn,Will_Churn,43.0,129.0,Will_Churn,4.0,2019-11-27,2020-12-18,2.0,Yes,No,No,579.0,15.0,2348.25,7,US,2.0,"Orders in 2019,2020"
144336.0,No,Yes,No,No,Will_Churn,Will_Churn,106.0,318.0,Will_Churn,2.0,2019-05-13,2019-08-27,1.0,Yes,No,Yes,777.0,2.0,1514.7,10,US,3.0,Orders only in 2019
144404.0,Yes,Yes,No,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2019-11-14,2019-11-14,-1.0,Yes,No,No,592.0,2.0,620.0,10,US,3.0,Orders only in 2019
144893.0,No,Yes,Yes,No,Will_Churn,Will_Churn,44.0,132.0,Will_Churn,3.0,2019-12-19,2020-03-16,1.0,Yes,No,No,557.0,18.0,3612.55,6,US,2.0,"Orders in 2019,2020"
144263.0,Yes,No,No,Yes,WillNot_Churn,Single order throughout,0.0,0.0,WillNot_Churn,1.0,2021-06-09,2021-06-09,-1.0,Yes,No,No,19.0,3.0,651.1,8,US,3.0,Orders only in 2021
144383.0,No,Yes,No,No,Will_Churn,Will_Churn,28.0,84.0,Will_Churn,2.0,2019-01-23,2019-02-20,-1.0,No,Yes,No,887.0,8.0,5804.75,8,US,3.0,Orders only in 2019
144727.0,Yes,No,Yes,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,3.0,2020-04-24,2020-04-24,-1.0,No,Yes,No,430.0,11.0,7881.019999999999,6,US,3.0,Orders only in 2020
145177.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,69.0,207.0,WillNot_Churn,13.0,2019-01-08,2021-03-02,1.0,Yes,No,Yes,902.0,76.0,11059.15,6,US,1.0,Orders in all years
144540.0,Yes,Yes,No,No,Will_Churn,Single order throughout,0.0,0.0,Will_Churn,1.0,2019-12-06,2019-12-06,-1.0,Yes,No,No,570.0,10.0,2441.0,7,US,3.0,Orders only in 2019
